Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
160;M;2018;Gaspard;2088
7;M;2006;Gaston;27
12;M;2014;Gaston;142
9;M;2018;Gaston;211
18;M;2006;Gauthier;45
6;M;2006;Gautier;15
6;M;2018;Gaye;6
7;M;2004;Geoffrey;7
5;M;2011;George;15
8;M;2014;George;30
23;M;2013;Georges;166
42;M;2018;Georges;365
8;F;2015;Georgia;35
5;F;2017;Gina;10
8;M;2008;Giovanni;34
6;M;2018;Giovanni;93
5;F;2008;Gisèle;5
8;F;2015;Gisèle;26
18;F;2007;Giulia;60
25;F;2010;Giulia;129
39;F;2014;Giulia;269
6;M;2016;Giulio;28
5;F;2005;Gloria;15
10;F;2011;Gloria;64
14;F;2014;Gloria;95
7;F;2005;Goundo;12
5;F;2006;Goundo;17
6;F;2011;Goundo;39
5;F;2013;Goundo;44
6;F;2017;Goundo;55
12;F;2004;Grace;12
14;F;2008;Grace;67
8;F;2015;Grace;132
7;F;2018;Grace;158
9;F;2005;Grâce;15
58;M;2005;Grégoire;114
32;M;2008;Grégoire;239
22;M;2016;Grégoire;463
5;M;2017;Grégory;30
11;M;2012;Guilhem;92
7;M;2015;Guilhem;114
6;M;2016;Guilhem;120
90;M;2004;Guillaume;90
32;M;2011;Guillaume;468
13;M;2017;Guillaume;577
13;M;2005;Gustave;29
42;M;2012;Gustave;262
5;F;2011;Gwenaëlle;5
5;F;2012;Habiba;5
5;F;2004;Haby;5
7;F;2005;Haby;12
5;F;2007;Hadja;10
9;F;2017;Hadja;35
40;M;2004;Hadrien;40
52;M;2012;Hadrien;334
30;M;2017;Hadrien;531
8;F;2011;Hafsa;26
9;F;2012;Hafsa;35
13;F;2017;Hafsa;89
5;M;2008;Hakim;22
16;F;2013;Halima;62
11;F;2017;Halima;103
5;M;2018;Hamed;21
8;M;2016;Hamidou;31
32;M;2008;Hamza;126
38;M;2014;Hamza;311
13;M;2005;Elliot;37
25;M;2007;Elliot;100
28;M;2012;Elliot;234
23;M;2014;Elliot;284
26;M;2016;Elliot;334
11;M;2005;Elliott;19
5;M;2012;Elliott;89
16;M;2016;Elliott;137
8;F;2011;Elly;22
10;F;2013;Elly;39
11;F;2015;Elly;50
5;M;2018;Eloan;12
7;F;2010;Eloane;19
58;F;2004;Elodie;58
22;F;2006;Elodie;115
15;F;2012;Elodie;217
5;F;2016;Elodie;244
5;F;2010;Élodie;24
6;F;2012;Élodie;36
11;M;2005;Eloi;33
5;M;2017;Eloi;217
9;M;2014;Éloi;21
44;F;2006;Eloïse;112
42;F;2007;Eloïse;154
43;F;2012;Eloïse;370
12;F;2016;Eloïse;472
6;F;2004;Éloïse;6
6;F;2007;Éloïse;17
5;F;2009;Éloïse;28
7;F;2010;Éloïse;35
13;F;2012;Éloïse;58
8;F;2013;Éloïse;66
8;F;2015;Éloïse;87
15;F;2016;Éloïse;102
11;M;2006;Elouan;39
9;M;2007;Elouan;48
69;F;2016;Elsa;884
54;F;2017;Elsa;938
8;F;2009;Elya;46
13;M;2009;Elyas;61
14;M;2006;Elyes;39
11;M;2017;Elyes;202
11;M;2018;Elyes;213
7;F;2011;Elyne;13
8;F;2015;Elyne;29
10;F;2017;Elyne;51
10;F;2016;Elyssa;82
7;F;2008;Ema;48
